ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
8090,0.40,1.00,0.17,0.33,0.29,0.40,0.40,0.40,0.20,0.20,0.20,0.31,0.24,0.18,0.33,0.25,0.35,0.01,0.00,0.01,0.01,0.01,0.01
16551,0.09,0.00,0.33,0.67,0.14,0.30,0.10,0.10,0.10,0.20,0.10,0.15,0.07,0.09,0.17,0.09,0.26,0.01,0.00,0.01,0.01,0.00,0.00
25615,0.11,1.00,0.33,0.33,0.12,0.20,0.20,0.20,0.20,0.20,0.20,0.24,0.16,0.13,0.23,0.16,0.32,0.00,0.00,0.01,0.00,0.01,0.01
25743,0.23,1.00,0.17,0.67,0.17,0.40,0.20,0.20,0.20,0.20,0.20,0.31,0.24,0.19,0.34,0.27,0.41,0.01,0.00,0.01,0.01,0.02,0.01
7255,0.20,1.00,0.17,0.33,0.57,0.20,0.20,0.20,0.20,0.20,0.10,0.16,0.08,0.10,0.17,0.09,0.26,0.00,0.00,0.00,0.00,0.00,0.00
25790,0.04,1.00,0.33,0.67,0.29,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
23450,0.19,1.00,0.17,0.67,0.22,0.10,0.10,0.10,0.10,0.20,0.20,0.15,0.07,0.09,0.17,0.10,0.28,0.00,0.00,0.02,0.01,0.03,0.03
16309,0.09,1.00,0.33,0.33,0.22,0.50,0.40,0.40,0.40,0.40,0.40,0.18,0.10,0.11,0.20,0.12,0.30,0.00,0.00,0.01,0.00,0.00,0.00
8356,0.35,0.00,0.33,0.33,0.40,0.30,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
21718,0.11,1.00,0.33,0.67,0.09,0.20,0.20,0.20,0.20,0.20,0.40,0.22,0.15,0.14,0.20,0.11,0.28,0.00,0.00,0.00,0.00,0.00,0.00
12718,0.14,1.00,0.17,0.67,0.53,0.20,0.20,0.20,0.20,0.20,0.20,0.27,0.20,0.16,0.30,0.23,0.38,0.01,0.00,0.00,0.01,0.01,0.01
18703,0.02,1.00,0.17,0.67,0.10,0.20,0.20,0.40,0.40,0.40,0.40,0.16,0.08,0.09,0.17,0.10,0.27,0.00,0.00,0.00,0.00,0.00,0.00
10395,0.09,0.00,0.17,0.67,0.16,0.30,0.40,0.20,0.20,0.20,0.20,0.23,0.15,0.14,0.25,0.18,0.34,0.00,0.00,0.00,0.01,0.01,0.00
6177,0.04,0.00,0.33,0.67,0.24,0.20,0.20,0.20,0.20,0.20,0.10,0.20,0.12,0.11,0.17,0.08,0.29,0.00,0.00,0.00,0.00,0.08,0.00
25739,0.08,1.00,0.33,0.33,0.41,0.40,0.40,0.40,0.40,0.40,0.40,0.19,0.11,0.11,0.21,0.13,0.30,0.00,0.00,0.00,0.00,0.00,0.00
13676,0.09,1.00,0.17,0.67,0.05,0.40,0.20,0.20,0.20,0.20,0.20,0.21,0.13,0.12,0.22,0.15,0.32,0.00,0.00,0.00,0.00,0.01,0.00
15147,0.11,1.00,0.17,0.67,0.05,0.00,0.00,0.10,0.10,0.20,0.20,0.16,0.07,0.09,0.17,0.10,0.27,0.01,0.00,0.01,0.01,0.00,0.01
2554,0.21,1.00,0.17,0.00,0.21,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
1116,0.14,1.00,0.33,0.67,0.28,0.20,0.20,0.20,0.20,0.20,0.20,0.22,0.14,0.13,0.20,0.11,0.29,0.00,0.00,0.00,0.00,0.00,0.00
9477,0.01,0.00,0.17,0.67,0.05,0.20,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.09,0.26,0.00,0.00,0.00,0.01,0.01,0.00
23345,0.49,1.00,0.17,0.33,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.10,0.09,0.17,0.10,0.26,0.04,0.01,0.01,0.03,0.01,0.02
2789,0.04,0.00,0.17,1.00,0.07,0.30,0.10,0.40,0.10,0.20,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.01,0.00,0.00,0.00,0.01,0.00
11317,0.33,0.00,0.17,0.67,0.14,0.20,0.20,0.20,0.20,0.20,0.20,0.32,0.25,0.17,0.30,0.23,0.38,0.01,0.00,0.01,0.01,0.01,0.01
3132,0.07,0.00,0.33,0.33,0.57,0.20,0.20,0.20,0.20,0.20,0.10,0.24,0.17,0.15,0.25,0.10,0.29,0.01,0.00,0.00,0.00,0.10,0.05
14534,0.12,0.00,0.33,0.67,0.17,0.20,0.20,0.40,0.20,0.10,0.10,0.19,0.12,0.10,0.20,0.09,0.26,0.01,0.00,0.01,0.02,0.01,0.00
6828,0.01,0.00,0.33,0.67,0.09,0.30,0.70,0.60,0.50,0.40,0.20,0.16,0.08,0.09,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.01,0.01
27245,0.07,0.00,0.17,0.67,0.24,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.12,0.12,0.21,0.13,0.29,0.00,0.00,0.00,0.00,0.00,0.00
28757,0.17,1.00,0.17,0.67,0.12,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.11,0.12,0.22,0.16,0.31,0.01,0.01,0.01,0.02,0.02,0.02
26543,0.19,1.00,0.33,0.33,0.52,0.10,0.10,0.00,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.01,0.00,0.01
7503,0.02,1.00,0.33,0.67,0.03,0.40,0.40,0.40,0.20,0.20,0.40,0.17,0.09,0.10,0.19,0.11,0.28,0.01,0.00,0.00,0.00,0.00,0.00
13925,0.23,1.00,0.17,0.67,0.09,0.10,0.40,0.10,0.10,0.20,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.01,0.00
24611,0.07,0.00,0.33,0.67,0.19,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.08,0.09,0.16,0.08,0.27,0.02,0.00,0.00,0.00,0.03,0.01
4157,0.22,1.00,0.17,0.67,0.41,0.20,0.20,0.20,0.20,0.20,0.20,0.33,0.26,0.20,0.34,0.29,0.42,0.02,0.01,0.02,0.03,0.04,0.03
1034,0.05,1.00,0.33,1.00,0.31,0.30,0.00,0.00,0.00,0.00,0.00,0.15,0.06,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
2812,0.25,1.00,0.33,0.67,0.16,0.20,0.20,0.20,0.20,0.20,0.20,0.16,0.08,0.10,0.18,0.10,0.28,0.00,0.00,0.00,0.00,0.01,0.01
12110,0.39,1.00,0.17,0.67,0.19,0.20,0.20,0.20,0.20,0.10,0.10,0.18,0.10,0.10,0.18,0.10,0.26,0.01,0.01,0.00,0.02,0.00,0.03
16599,0.00,0.00,0.33,0.67,0.14,0.20,0.20,0.20,0.20,0.20,0.20,0.15,0.07,0.09,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
26946,0.05,0.00,0.17,0.33,0.29,0.30,0.00,0.00,0.00,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
639,0.16,0.00,0.33,0.67,0.17,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.12,0.12,0.21,0.13,0.30,0.00,0.00,0.00,0.00,0.01,0.01
5453,0.04,0.00,0.33,1.00,0.55,0.20,0.20,0.20,0.20,0.20,0.10,0.19,0.11,0.11,0.18,0.11,0.28,0.00,0.00,0.00,0.00,0.07,0.00
21881,0.15,1.00,0.50,0.67,0.09,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
13900,0.02,0.00,0.33,0.67,0.10,0.20,0.20,0.20,0.20,0.20,0.20,0.16,0.08,0.09,0.17,0.10,0.27,0.00,0.00,0.00,0.00,0.00,0.00
21761,0.08,1.00,0.33,0.67,0.05,0.20,0.20,0.20,0.20,0.20,0.40,0.16,0.08,0.10,0.18,0.10,0.28,0.00,0.00,0.00,0.00,0.00,0.00
4797,0.30,1.00,0.33,0.67,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.11,0.11,0.21,0.13,0.30,0.00,0.00,0.00,0.00,0.00,0.00
29124,0.01,1.00,0.50,0.67,0.60,0.20,0.20,0.20,0.40,0.20,0.20,0.16,0.08,0.09,0.17,0.10,0.27,0.00,0.00,0.00,0.00,0.00,0.00
6445,0.19,1.00,0.17,0.33,0.41,0.10,0.10,0.10,0.10,0.00,0.10,0.16,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.02,0.00
23720,0.26,1.00,0.50,0.33,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
18337,0.07,1.00,0.33,0.67,0.02,0.20,0.20,0.20,0.20,0.20,0.20,0.16,0.08,0.09,0.17,0.10,0.27,0.00,0.00,0.00,0.00,0.00,0.00
27411,0.19,0.00,0.17,0.33,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.09,0.16,0.09,0.26,0.00,0.00,0.00,0.01,0.00,0.00
12657,0.28,0.00,0.33,0.33,0.29,0.20,0.20,0.20,0.20,0.20,0.20,0.25,0.16,0.13,0.24,0.16,0.32,0.00,0.00,0.00,0.00,0.01,0.00
9037,0.05,0.00,0.33,0.33,0.26,0.30,0.40,0.20,0.20,0.20,0.20,0.18,0.10,0.11,0.20,0.12,0.29,0.00,0.00,0.00,0.00,0.00,0.00
22783,0.15,1.00,0.50,1.00,0.26,0.10,0.10,0.20,0.10,0.10,0.10,0.15,0.10,0.10,0.17,0.09,0.26,0.04,0.00,0.01,0.01,0.00,0.01
9823,0.04,1.00,0.50,0.33,0.47,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
18680,0.07,1.00,0.33,0.33,0.16,0.10,0.10,0.10,0.00,0.10,0.10,0.18,0.07,0.09,0.16,0.10,0.27,0.00,0.00,0.00,0.03,0.01,0.00
23006,0.37,1.00,0.33,0.33,0.41,0.20,0.20,0.20,0.20,0.20,0.20,0.34,0.28,0.21,0.38,0.32,0.45,0.01,0.01,0.01,0.01,0.02,0.02
29238,0.04,0.00,0.50,0.67,0.05,0.30,0.40,0.20,0.20,0.10,0.10,0.19,0.11,0.11,0.19,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
5182,0.14,1.00,0.17,0.33,0.26,0.10,0.10,0.10,0.10,0.10,0.10,0.16,0.08,0.10,0.16,0.09,0.27,0.02,0.02,0.01,0.01,0.03,0.03
17241,0.01,1.00,0.33,0.67,0.29,0.20,0.20,0.20,0.20,0.20,0.10,0.16,0.08,0.10,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.02,0.01
21151,0.12,0.00,0.17,0.67,0.36,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
16891,0.11,0.00,0.17,0.67,0.21,0.30,0.00,0.00,0.10,0.10,0.00,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
26843,0.35,0.00,0.33,0.33,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.09,0.16,0.08,0.26,0.00,0.00,0.00,0.00,0.00,0.00
20637,0.04,0.00,0.33,0.67,0.17,0.20,0.20,0.50,0.40,0.20,0.20,0.16,0.08,0.09,0.17,0.09,0.27,0.00,0.00,0.00,0.00,0.00,0.00
8925,0.01,0.00,0.50,0.33,0.52,0.20,0.20,0.20,0.20,0.40,0.40,0.16,0.08,0.10,0.18,0.10,0.28,0.00,0.00,0.00,0.00,0.00,0.00
18353,0.07,1.00,0.33,0.67,0.03,0.20,0.20,0.20,0.20,0.20,0.20,0.18,0.11,0.11,0.20,0.12,0.29,0.00,0.00,0.00,0.00,0.01,0.00
4214,0.10,1.00,0.50,0.33,0.31,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.13,0.13,0.23,0.16,0.32,0.00,0.00,0.00,0.00,0.01,0.01
25485,0.24,1.00,0.17,0.67,0.17,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.13,0.12,0.22,0.15,0.31,0.00,0.00,0.00,0.01,0.01,0.00
24798,0.13,0.00,0.33,0.33,0.24,0.30,0.40,0.40,0.20,0.20,0.20,0.28,0.21,0.16,0.28,0.20,0.35,0.01,0.00,0.01,0.01,0.01,0.01
27760,0.07,1.00,0.50,0.67,0.07,0.20,0.20,0.20,0.20,0.20,0.20,0.22,0.14,0.13,0.23,0.15,0.31,0.00,0.00,0.00,0.00,0.01,0.00
18009,0.29,0.00,0.50,0.67,0.38,0.20,0.20,0.20,0.20,0.20,0.20,0.42,0.35,0.24,0.43,0.27,0.41,0.01,0.01,0.02,0.01,0.02,0.01
